name	type	units	sampling_frequency
Fp1	EEG	uV	200
Fz	EEG	uV	200
F3	EEG	uV	200
F7	EEG	uV	200
FT9	EEG	uV	200
FC5	EEG	uV	200
FC1	EEG	uV	200
C3	EEG	uV	200
T7	EEG	uV	200
TP9	EEG	uV	200
CP5	EEG	uV	200
CP1	EEG	uV	200
Pz	EEG	uV	200
P3	EEG	uV	200
P7	EEG	uV	200
O1	EEG	uV	200
Oz	EEG	uV	200
O2	EEG	uV	200
P4	EEG	uV	200
P8	EEG	uV	200
TP10	EEG	uV	200
CP6	EEG	uV	200
CP2	EEG	uV	200
Cz	EEG	uV	200
C4	EEG	uV	200
T8	EEG	uV	200
FT10	EEG	uV	200
FC6	EEG	uV	200
FC2	EEG	uV	200
F4	EEG	uV	200
F8	EEG	uV	200
FP2	EEG	uV	200
AF7	EEG	uV	200
AF3	EEG	uV	200
AFz	EEG	uV	200
F1	EEG	uV	200
F5	EEG	uV	200
FT7	EEG	uV	200
FC3	EEG	uV	200
C1	EEG	uV	200
C5	EEG	uV	200
TP7	EEG	uV	200
CP3	EEG	uV	200
P1	EEG	uV	200
P5	EEG	uV	200
PO7	EEG	uV	200
PO3	EEG	uV	200
POz	EEG	uV	200
PO4	EEG	uV	200
PO8	EEG	uV	200
P6	EEG	uV	200
P2	EEG	uV	200
CPz	EEG	uV	200
CP4	EEG	uV	200
TP8	EEG	uV	200
C6	EEG	uV	200
C2	EEG	uV	200
FC4	EEG	uV	200
FT8	EEG	uV	200
F6	EEG	uV	200
AF8	EEG	uV	200
AF4	EEG	uV	200
F2	EEG	uV	200
ECG	ECG	uV	200
F9	EEG	uV	200
AFF1h	EEG	uV	200
FFC1h	EEG	uV	200
FFC5h	EEG	uV	200
FTT7h	EEG	uV	200
FCC3h	EEG	uV	200
CCP1h	EEG	uV	200
CCP5h	EEG	uV	200
TPP7h	EEG	uV	200
P9	EEG	uV	200
PPO9h	EEG	uV	200
PO9	EEG	uV	200
O9	EEG	uV	200
OI1h	EEG	uV	200
PPO1h	EEG	uV	200
CPP3h	EEG	uV	200
CPP4h	EEG	uV	200
PPO2h	EEG	uV	200
OI2h	EEG	uV	200
O10	EEG	uV	200
PO10	EEG	uV	200
PPO10h	EEG	uV	200
P10	EEG	uV	200
TPP8h	EEG	uV	200
CCP6h	EEG	uV	200
CCP2h	EEG	uV	200
FCC4h	EEG	uV	200
FTT8h	EEG	uV	200
FFC6h	EEG	uV	200
FFC2h	EEG	uV	200
AFF2h	EEG	uV	200
F10	EEG	uV	200
AFP1	EEG	uV	200
AFF5h	EEG	uV	200
FFT9h	EEG	uV	200
FFT7h	EEG	uV	200
FFC3h	EEG	uV	200
FCC1h	EEG	uV	200
FCC5h	EEG	uV	200
FTT9h	EEG	uV	200
TTP7h	EEG	uV	200
CCP3h	EEG	uV	200
CPP1h	EEG	uV	200
CPP5h	EEG	uV	200
TPP9h	EEG	uV	200
POO9h	EEG	uV	200
PPO5h	EEG	uV	200
POO1	EEG	uV	200
POO2	EEG	uV	200
PPO6h	EEG	uV	200
POO10h	EEG	uV	200
TPP10h	EEG	uV	200
CPP6h	EEG	uV	200
CPP2h	EEG	uV	200
CCP4h	EEG	uV	200
TTP8h	EEG	uV	200
FTT10h	EEG	uV	200
FCC6h	EEG	uV	200
FCC2h	EEG	uV	200
FFC4h	EEG	uV	200
FFT8h	EEG	uV	200
FFT10h	EEG	uV	200
AFF6h	EEG	uV	200
AFp2	EEG	uV	200
